"date","benchmark_MKT_RF_contrib","benchmark_SMB_contrib","benchmark_HML_contrib","benchmark_MOM_contrib","dynamic_logit_MKT_RF_contrib","dynamic_logit_SMB_contrib","dynamic_logit_HML_contrib","dynamic_logit_MOM_contrib","dynamic_xgboost_MKT_RF_contrib","dynamic_xgboost_SMB_contrib","dynamic_xgboost_HML_contrib","dynamic_xgboost_MOM_contrib"
2007-01-31,0.00455,0.001325,-6e-04,0.001525,0.00546,0.001325,-0.00036,0.00183,0.00546,0.001325,-0.00036,0.00183
2007-02-28,-0.00395,0.004025,0.00075,-0.002275,-0.00474,0.004025,0.00045,-0.00273,-0.00474,0.004025,0.00045,-0.00273
2007-03-31,0.00285,0.0013,-0.001125,0.007525,0.00342,0.0013,-0.000675,0.00903,0.00342,0.0013,-0.000675,0.00903
2007-04-30,0.009825,-0.004425,-0.0025,7e-04,0.01179,-0.004425,-0.0015,0.00084,0.01179,-0.004425,-0.0015,0.00084
2007-05-31,0.0091,0.001425,-0.00045,2e-04,0.01092,0.001425,-0.00027,0.00024,0.01092,0.001425,-0.00027,0.00024
2007-06-30,-0.0039,0.002825,-0.001625,0.0023,-0.00468,0.002825,-0.000975,0.00276,-0.00468,0.002825,-0.000975,0.00276
2007-07-31,-0.0083,-0.00565,-0.0082,0.0081,-0.00996,-0.00565,-0.00492,0.00972,-0.00996,-0.00565,-0.00492,0.00972
2007-08-31,0.0034,0.000775,-0.003625,0.000975,0.00408,0.000775,-0.002175,0.00117,0.00408,0.000775,-0.002175,0.00117
2007-09-30,0.00885,-0.004825,-0.004625,0.011875,0.01062,-0.004825,-0.002775,0.01425,0.01239,-0.002895,-0.006475,0.007125
2007-10-31,0.005275,0.001275,-0.006375,0.013375,0.00633,0.001275,-0.003825,0.01605,0.007385,0.000765,-0.008925,0.008025
2007-11-30,-0.01115,-0.006175,-0.001875,0.00365,-0.01338,-0.006175,-0.001125,0.00438,-0.01561,-0.003705,-0.002625,0.00219
2007-12-31,-0.0015,0.00095,-6e-04,0.017075,-0.0018,0.00095,-0.00036,0.02049,-0.0021,0.00057,-0.00084,0.010245
2008-01-31,-0.0153,-0.002025,0.010525,-0.018825,-0.01836,-0.002025,0.006315,-0.02259,-0.02142,-0.001215,0.014735,-0.011295
2008-02-29,-0.0074,-0.000875,-0.001475,0.01565,-0.00888,-0.000875,-0.000885,0.01878,-0.01036,-0.000525,-0.002065,0.00939
2008-03-31,-0.001925,0.0022,0.0012,0.01105,-0.002695,0.00132,0.00168,0.00663,-0.002695,0.00132,0.00168,0.00663
2008-04-30,0.011975,-0.003775,-0.00195,-0.000375,0.016765,-0.002265,-0.00273,-0.000225,0.016765,-0.002265,-0.00273,-0.000225
2008-05-31,0.005125,0.007875,-0.0033,0.008925,0.00615,0.007875,-0.00198,0.01071,0.007175,0.004725,-0.00462,0.005355
2008-06-30,-0.02065,0.0033,-0.00585,0.0322,-0.02891,0.00198,-0.00819,0.01932,-0.02891,0.00198,-0.00819,0.01932
2008-07-31,-0.0015,0.006875,0.013375,-0.012175,-0.0018,0.006875,0.008025,-0.01461,-0.0021,0.004125,0.018725,-0.007305
2008-08-31,0.00415,0.008825,0.004125,-0.010875,0.00498,0.008825,0.002475,-0.01305,0.00581,0.005295,0.005775,-0.006525
2008-09-30,-0.023,-0.0023,0.014525,0.002525,-0.0276,-0.0023,0.008715,0.00303,-0.0322,-0.00138,0.020335,0.001515
2008-10-31,-0.0428,-0.005575,-0.004525,0.019875,-0.05992,-0.003345,-0.006335,0.011925,-0.05992,-0.003345,-0.006335,0.011925
2008-11-30,-0.019275,-0.00745,-0.01545,0.018275,-0.026985,-0.00447,-0.02163,0.010965,-0.026985,-0.00447,-0.02163,0.010965
2008-12-31,0.004425,0.0088,0.000125,-0.012725,0.006195,0.00528,0.000175,-0.007635,0.006195,0.00528,0.000175,-0.007635
2009-01-31,-0.020225,1e-04,-0.02755,-0.0059,-0.028315,6e-05,-0.03857,-0.00354,-0.028315,6e-05,-0.03857,-0.00354
2009-02-28,-0.025325,0.000375,-0.016475,0.010925,-0.035455,0.000225,-0.023065,0.006555,-0.035455,0.000225,-0.023065,0.006555
2009-03-31,0.022575,-2e-04,0.00875,-0.029525,0.031605,-0.00012,0.01225,-0.017715,0.031605,-0.00012,0.01225,-0.017715
2009-04-30,0.02545,0.013525,0.013475,-0.085825,0.03563,0.008115,0.018865,-0.051495,0.03563,0.008115,0.018865,-0.051495
2009-05-31,0.013025,-0.006025,0.001025,-0.031325,0.018235,-0.003615,0.001435,-0.018795,0.018235,-0.003615,0.001435,-0.018795
2009-06-30,0.001075,0.006475,-0.006875,0.01365,0.001505,0.003885,-0.009625,0.00819,0.001505,0.003885,-0.009625,0.00819
2009-07-31,0.019375,0.0044,0.01225,-0.013825,0.027125,0.00264,0.01715,-0.008295,0.027125,0.00264,0.01715,-0.008295
2009-08-31,0.00835,-0.002775,0.019025,-0.022725,0.01169,-0.001665,0.026635,-0.013635,0.01169,-0.001665,0.026635,-0.013635
2009-09-30,0.010225,0.0061,0.0029,-0.01215,0.014315,0.00366,0.00406,-0.00729,0.014315,0.00366,0.00406,-0.00729
2009-10-31,-0.006325,-0.01065,-0.010425,0.006225,-0.008855,-0.00639,-0.014595,0.003735,-0.008855,-0.00639,-0.014595,0.003735
2009-11-30,0.014075,-0.00625,-0.000825,0.000975,0.019705,-0.00375,-0.001155,0.000585,0.019705,-0.00375,-0.001155,0.000585
2009-12-31,0.007025,0.01505,-0.00025,0.007525,0.009835,0.00903,-0.00035,0.004515,0.009835,0.00903,-0.00035,0.004515
2010-01-31,-0.008375,0.001075,0.000825,-0.013325,-0.011725,0.000645,0.001155,-0.007995,-0.011725,0.000645,0.001155,-0.007995
2010-02-28,0.008475,0.00295,0.00795,0.009225,0.011865,0.00177,0.01113,0.005535,0.011865,0.00177,0.01113,0.005535
2010-03-31,0.015775,0.003675,0.0055,0.00895,0.022085,0.002205,0.0077,0.00537,0.022085,0.002205,0.0077,0.00537
2010-04-30,0.005,0.012125,0.007425,0.007925,0.007,0.007275,0.010395,0.004755,0.007,0.007275,0.010395,0.004755
2010-05-31,-0.019725,0.00035,-0.006175,-0.000475,-0.027615,0.00021,-0.008645,-0.000285,-0.027615,0.00021,-0.008645,-0.000285
